,pref_dest_city_y1
0,20873
89,1068
86,373
69,336
55,144
88,49
7,47
95,37
49,30
67,21
105,20
85,20
3,19
80,18
59,17
78,16
36,16
104,15
91,14
42,14
21,14
99,13
28,12
83,10
15,10
70,9
110,9
48,9
65,8
64,8
24,7
10,7
54,7
57,7
9,6
90,6
84,6
60,6
76,6
39,5
103,5
93,5
73,5
14,4
72,4
1,4
96,4
12,4
98,4
6,3
16,3
97,3
33,3
77,3
45,3
25,3
43,3
26,3
4,2
18,2
68,2
19,2
111,2
71,2
23,2
75,2
61,2
30,2
40,2
11,2
106,2
102,2
38,2
22,2
117,2
79,2
32,1
46,1
29,1
13,1
27,1
47,1
53,1
34,1
50,1
5,1
74,1
58,1
56,1
35,1
8,1
115,1
116,1
66,1
