dist_cnt_y1,dist_cnt_y2,dist_cnt_y3,dist_cnt,flt_nature_cnt_y1,flt_nature_cnt_y2,flt_nature_cnt_y3,flt_natrue_cnt
0,0,0,0.0,0,0,0,0.0
0,0,0,0.0,0,0,0,0.0
0,0,0,0.0,0,0,0,0.0
10808,10808,21675,7571.5,1,1,2,0.7
0,0,28705,2870.5,0,0,4,0.4
0,0,0,0.0,0,0,0,0.0
0,0,0,0.0,0,0,0,0.0
12934,12934,37372,10204.2,1,1,3,0.8
0,0,0,0.0,0,0,0,0.0
0,0,0,0.0,0,0,0,0.0
0,0,0,0.0,0,0,0,0.0
0,0,23608,2360.8,0,0,4,0.4
0,0,0,0.0,0,0,0,0.0
0,0,27869,2786.9,0,0,4,0.4
11827,11827,23713,8284.8,2,2,4,1.4
27713,27713,27713,16627.8,4,4,4,2.4
0,0,0,0.0,0,0,0,0.0
0,0,0,0.0,0,0,0,0.0
45337,45337,51047,27773.2,8,8,17,5.7
0,0,25783,2578.3,0,0,3,0.30000000000000004
14641,14641,14641,8784.6,3,3,3,1.7999999999999998
0,0,0,0.0,0,0,0,0.0
3594,3594,57366,7533.6,3,3,8,2.3
0,0,0,0.0,0,0,0,0.0
0,0,0,0.0,0,0,0,0.0
0,0,0,0.0,0,0,0,0.0
0,0,0,0.0,0,0,0,0.0
0,0,30239,3023.9,0,0,4,0.4
12934,12934,12934,7760.4,1,1,1,0.6
0,0,0,0.0,0,0,0,0.0
0,0,0,0.0,0,0,0,0.0
12934,12934,28800,9347.0,1,1,4,0.9
0,0,0,0.0,0,0,0,0.0
0,0,0,0.0,0,0,0,0.0
0,0,25485,2548.5,0,0,3,0.30000000000000004
0,0,28705,2870.5,0,0,4,0.4
0,0,0,0.0,0,0,0,0.0
0,0,0,0.0,0,0,0,0.0
0,0,0,0.0,0,0,0,0.0
0,0,0,0.0,0,0,0,0.0
8520,8520,8520,5112.0,2,2,2,1.2
0,0,26478,2647.8,0,0,2,0.2
0,0,26478,2647.8,0,0,2,0.2
0,0,26478,2647.8,0,0,2,0.2
0,0,26478,2647.8,0,0,2,0.2
0,0,45494,4549.400000000001,0,0,8,0.8
0,0,0,0.0,0,0,0,0.0
0,0,0,0.0,0,0,0,0.0
37374,37374,50374,23724.399999999998,3,3,4,1.9
37374,37374,50374,23724.399999999998,3,3,4,1.9
0,0,45482,4548.2,0,0,6,0.6000000000000001
0,0,0,0.0,0,0,0,0.0
0,0,0,0.0,0,0,0,0.0
0,0,13673,1367.3000000000002,0,0,2,0.2
0,0,0,0.0,0,0,0,0.0
0,0,0,0.0,0,0,0,0.0
0,0,0,0.0,0,0,0,0.0
0,0,0,0.0,0,0,0,0.0
38868,38868,65346,25968.6,3,3,5,1.9999999999999998
0,0,55143,5514.3,0,0,8,0.8
0,0,0,0.0,0,0,0,0.0
0,0,12254,1225.4,0,0,2,0.2
14910,14910,29761,10431.1,2,2,4,1.4
0,0,0,0.0,0,0,0,0.0
0,0,0,0.0,0,0,0,0.0
0,0,0,0.0,0,0,0,0.0
0,0,49316,4931.6,0,0,5,0.5
0,0,49316,4931.6,0,0,5,0.5
28602,28602,28602,17161.2,4,4,4,2.4
0,0,23675,2367.5,0,0,4,0.4
